Unnamed: 0,adverse weather,capsized,coastal isolation,collision,discharge of contaminated water,disruption,drifting,drunken driving,engine damage,engine failure,exceeding capacity,explosion,fire,flooding,inspection,maritime safety threat,mechanical defects,minor contact,missing,nuclear,nuclear power plants,oil spill,overloading,overturning,prevention,radiation,rescue,safety measures,search and rescue operations,seizure,steering system damage,stranded,violating crew standards,war,injured,deaths,Overall Severity,Severity Level
Article 221,0,0,0,0,0.036651605,0,0,0,0.011177311,0,0,0,0,0,0.011160773,0.011653371,0,0,0,0.025663365,0.025349798,0,0,0,0,0,0,0.011530107,0,0,0.009382604,0,0,0,,,0.198371943,medium
Article 222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,high
Article 223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008713781,0,0,0.020896667,0,0,0,0,0,0,0,0.031660178,0.017697293,0.076063314,0,0,0,0,0,,1,1.346202436,high
Article 224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043517934,0,0,0,0,0,0,0,0,0,0,0,0.00643137,0,0,0,0,0,0,,,0.1185613,low
Article 225,0.003899634,0,0,0.009011385,0,0,0,0,0,0,0,0,0,0,0,0.001278782,0,0.006869725,0,0,0.005134142,0,0,0,0,0,0.009292517,0.001265256,0.004784393,0,0,0.014973847,0.013724332,0,,,0.074128003,low
Article 226,0.011836921,0,0,0.027353095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027925644,0,0,0.116130865,0,0,0,0,0,0,0.030525412,0,0,0,0.010414685,0,,34,34.23557498,high
Article 227,0,0,0,0.038899992,0,0,0,0,0.021178752,0,0,0,0,0,0,0.005424138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017778145,0,0,0,3.5,,3.60774599,high
Article 228,0,0,0.007532076,0,0,0,0,0.020949227,0,0,0,0,0,0,0,0.031829817,0,0,0,0,0,0,0,0,0,0,0,0.024589749,0,0,0,0,0.019051925,0,,,0.243118709,medium
Article 229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029354282,0,0,0,0,0,0,0,0,0,0,0,0.017548418,0.014829044,0,0,0,0,0,,,0.250602651,medium
Article 230,0,0,0,0,0,0.005034378,0,0,0,0,0.003331924,0,0,0,0,0.024347923,0,0,0,0,0.007850729,0.007716823,0,0,0,0,0,0.005455758,0,0,0,0,0.006499715,0.007294411,,,0.128632536,low
Article 231,0,0,0,0,0.016986832,0,0,0,0.010060909,0,0,0,0,0,0.080368186,0.015642864,0,0,0,0.02310008,0.022817833,0,0,0,0,0.060688267,0,0.010378467,0,0,0.00844546,0,0,0,,,0.38988151,medium
Article 232,0,0,0,0,0.057919186,0,0,0,0,0,0,0,0,0,0.056643702,0.029366041,0,0,0,0,0,0,0,0,0,0,0,0.017555448,0,0,0,0,0,0,,,0.297379922,medium
Article 233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003407693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.006150459,low
Article 234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004774494,0,0,0,0,0,0,0,0,0,0,0,0.004723991,0,0,0,0,0,0,,,0.04068581,low
Article 235,0,0,0,0,0.005345758,0,0,0,0,0,0,0,0,0,0,0.013101078,0,0,0,0.153874896,0.229002926,0,0,0,0.010049899,0.030319378,0,0.026607693,0.005476889,0,0,0,0,0,,,0.547432179,medium
Article 236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,high
Article 237,0,0,0,0,0,0,0,0,0.00650889,0,0,0,0,0,0,0.001696529,0,0,0,0,0,0,0,0,0,0,0,0.012280518,0,0,0.005463778,0,0.007437848,0,,,0.135750822,low
Article 238,0,0,0.004320947,0,0,0,0,0,0,0,0,0,0,0,0,0.002036754,0,0,0,0,0,0,0,0,0,0,0,0.00201521,0,0,0,0,0,0,,,0.12820936,low
Article 239,0,0,0,0,0.036524637,0,0,0,0,0,0,0,0,0,0.01311215,0.020417191,0,0,0,0.03015041,0.029782019,0,0,0,0,0.015842163,0,0.013546059,0,0,0,0,0,0,,,0.258483424,medium
Article 240,0,0,0,0.106040477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,17.10604048,high
Article 241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003834161,0,0,0.027584302,0,0,0,0,0,0,0,0.041792499,0.003793605,0.081171736,0,0,0,0,0,,1,1.357027353,high
Article 242,0.011825485,0,0,0.027326668,0,0,0,0,0,0,0,0,0,0,0,0.034360869,0,0,0,0,0,0,0,0,0,0,0,0.003836839,0.009726799,0,0,0,0,0,,,0.417099822,medium
Article 243,0,0,0,0.042951345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043850393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016353715,0,,25,25.25728876,high
Article 244,0,0,0,0,0,0,0,0,0,0,0.016530325,0,0,0,0,0.007269874,0,0,0,0,0,0.012761557,0,0,0,0,0,0.0024258,0,0,0,0,0,0,,,0.073196788,low
Article 245,0,0,0,0,0.030666143,0,0,0,0,0,0,0,0,0,0,0.013742484,0,0,0,0.030264066,0.04368785,0,0,0,0,0.063607526,0,0.013597122,0,0,0,0,0.015062301,0,,,0.276434372,medium
Article 246,0,0,0,0,0,0,0,0,0.032873899,0.026441663,0,0,0,0,0,0.034655885,0,0,0,0,0,0,0,0,0,0,0,0.009920251,0,0,0,0,0,0,,,0.218688755,medium
Article 247,0,0,0,0,0.047549653,0,0,0,0,0,0,0,0,0,0,0.008627583,0,0,0,0.018999893,0.018767744,0,0,0,0,0,0,0.015275752,0,0,0,0,0,0,,,0.251420434,medium
Article 248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012153626,0.003172511,0.130817223,0,0,0,0,0,0,0,0,0,0,0.003138954,0,0,0,0,0,0,,5,5.218832751,high
Article 249,0.004362486,0,0,0,0.007004714,0,0,0,0,0,0,0,0,0.006728752,0,0.002145844,0,0,0,0.006300847,0.023206701,0,0,0,0,0,0,0.002123146,0,0,0,0,0,0,,,0.072992091,low
Article 250,0,0,0,0.0794083,0,0,0,0,0,0,0,0,0,0,0,0.007512418,0,0,0,0,0,0,0,0,0,0,0,0.007432955,0.009421671,0,0,0,0,0,,6,6.145168525,high
Article 251,0,0,0,0,0.073674832,0,0,0,0,0,0,0,0,0.009436306,0.011528381,0.017395519,0,0.006143897,0,0.044181085,0.039613946,0,0,0,0,0.009285763,0,0.00893241,0,0,0,0,0.004397749,0.014806338,,,0.28087809,medium
Article 252,0,0,0.004132159,0,0.037121103,0,0,0,0.007472783,0,0,0,0,0,0,0.001947765,0,0,0,0.05147305,0.035204089,0,0,0,0,0.009015294,0,0.001927163,0,0,0.006272901,0,0,0,,,0.174081091,medium
Article 253,0.007143301,0,0.004969494,0.016506944,0.005734893,0,0,0,0,0.017915479,0,0,0,0,0,0.007027373,0,0,0,0,0,0,0,0,0,0,0.017021918,0.014272275,0.008763992,0,0,0,0.056565137,0,,,0.246833061,medium
Article 254,0,0,0.002415526,0,0.004774759,0.011599256,0,0,0,0,0.007676785,0,0,0,0,0.006791975,0,0,0,0,0,0,0,0,0,0,0,0.004506227,0,0,0,0,0,0,,,0.0912152,low
Article 255,0,0,0,0.012481495,0,0,0,0,0,0,0,0,0,0,0,0.00348079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026144179,,,0.061426901,low
